ean;mfn;brand;name;category;price;currency;qty
5900000000042;MX-MASTER-3S;Logitech;Logitech MX Master 3S Wireless;Mice;365.04;PLN;35
5900000000043;HYPERX-CLOUD-III;HyperX;HyperX Cloud III Gaming Headset;Headphones;324.39;PLN;30
5900000000044;WH-1000XM5;Sony;Sony WH-1000XM5 Wireless ANC;Headphones;1300.00;PLN;14
5900000000046;BLUE-YETI;Logitech;Logitech Blue Yeti USB Microphone;Microphones;486.99;PLN;20
5900000000048;BRIO-4K;Logitech;Logitech Brio 4K Ultra HD Webcam;Webcams;649.59;PLN;18
5900000000049;C920E;Logitech;Logitech C920e HD 1080p Webcam;Webcams;202.44;PLN;40
5900000000051;CREATIVE-PEBBLE;Creative;Creative Pebble V3 USB-C Speakers;Speakers;161.79;PLN;50
5900000000052;MM700-RGB;Corsair;Corsair MM700 RGB Extended Mousepad;MousePads;121.14;PLN;60
5900000000054;LEGION-5-PRO;Lenovo;Lenovo Legion 5 Pro 16 RTX 4060;Laptops;4877.24;PLN;8
5900000000055;TUF-A15-FA507;ASUS;ASUS TUF Gaming A15 RTX 4050;Laptops;3495.12;PLN;10
5900000000057;THINKPAD-E14-G5;Lenovo;Lenovo ThinkPad E14 Gen 5 i5;Laptops;3088.62;PLN;12
5900000000058;PH16-71;Acer;Acer Predator Helios 16 RTX 4070;Laptops;6503.25;PLN;6
5900000000060;XPS-15-9530;Dell;Dell XPS 15 9530 RTX 4050;Laptops;6096.75;PLN;5
5900000000062;BX8071514700K;Intel;Intel Core i7-14700K;CPU;1543.90;PLN;16
5900000000063;100-100000589WOF;AMD;AMD Ryzen 9 7900X;CPU;1381.30;PLN;12
5900000000065;GV-N406TWF2OC;Gigabyte;Gigabyte GeForce RTX 4060 Ti Windforce 8GB;GPU;1462.60;PLN;18
5900000000066;TUF-RTX4080S-16G;ASUS;ASUS TUF Gaming GeForce RTX 4080 Super 16GB;GPU;4308.13;PLN;6
5900000000068;RTX4070TIS-16G;MSI;MSI GeForce RTX 4070 Ti Super Ventus 16GB;GPU;3169.92;PLN;9
5900000000069;SKC3000D2TB;Kingston;Kingston KC3000 2TB NVMe Gen4;Storage;649.59;PLN;22
5900000000070;ST2000DM008;Seagate;Seagate Barracuda 2TB SATA HDD;Storage;202.44;PLN;40
5900000000072;MU-PC1T0H;Samsung;Samsung T7 1TB Portable SSD;Storage;324.39;PLN;30
5900000000073;KF560C36RSK2-32;Kingston;Kingston Fury Renegade 32GB DDR5-6000;Memory;511.38;PLN;24
5900000000075;B650M-PRO-RS;ASRock;ASRock B650M Pro RS;Motherboard;486.99;PLN;26
5900000000077;X670-AORUS-ELITE;Gigabyte;Gigabyte X670 Aorus Elite AX;Motherboard;1137.40;PLN;9
5900000000078;STRAIGHT-12-850W;be quiet!;be quiet! Straight Power 12 850W 80+ Platinum;PSU;649.59;PLN;16
5900000000080;LF-III-360;Arctic;Arctic Liquid Freezer III 360 AIO;Cooler;527.64;PLN;18
5900000000082;FD-NORTH-CHARCOAL;Fractal Design;Fractal Design North Charcoal;Case;470.73;PLN;16
5900000000084;ARCTIC-P12-5PK;Arctic;Arctic P12 PWM PST 5-pack 120mm;Fan;104.88;PLN;60
5900000000086;AOC-24G2U;AOC;AOC 24G2 24 inch 144Hz IPS;Displays;649.59;PLN;22
5900000000087;MAG-274QRF-QD;MSI;MSI MAG 274QRF QD 27 inch QHD 170Hz;Displays;1137.40;PLN;14
5900000000089;BLACKWIDOW-V4-PRO;Razer;Razer BlackWidow V4 Pro Mechanical;Keyboards;812.20;PLN;16
5900000000091;G502-X-PLUS;Logitech;Logitech G502 X Plus Wireless;Mice;608.94;PLN;20
5900000000092;GLORIOUS-MODEL-O2;Glorious;Glorious Model O 2 Wireless;Mice;365.04;PLN;28
5900000000094;DT-900-PRO-X;Beyerdynamic;Beyerdynamic DT 900 Pro X;Headphones;730.89;PLN;12
5900000000095;RODE-NT-USB-PLUS;Rode;Rode NT-USB+ USB Microphone;Microphones;730.89;PLN;14
5900000000097;EDIFIER-R1280T;Edifier;Edifier R1280T 2.0 Bookshelf Speakers;Speakers;324.39;PLN;24
5900000000098;STEELSERIES-QCK-H;SteelSeries;SteelSeries QcK Heavy Large Mousepad;MousePads;104.88;PLN;50
5900000000099;SANDISK-EXTREME-128;SanDisk;SanDisk Extreme microSDXC 128GB;Storage;104.88;PLN;90
5900000000100;LOGI-MX-KEYS-S;Logitech;Logitech MX Keys S Wireless Keyboard;Keyboards;446.34;PLN;28
5900000000101;BX8071514400F;Intel;Intel Core i5-14400F;CPU;649.59;PLN;40
5900000000102;BX8071513400F;Intel;Intel Core i5-13400F;CPU;617.07;PLN;30
5900000000104;RTX4060-VENTUS-2X-8G;MSI;MSI GeForce RTX 4060 Ventus 2X 8GB;GPU;1137.40;PLN;18
5900000000105;GV-N407SWF3OC-12GD;Gigabyte;Gigabyte GeForce RTX 4070 SUPER Windforce OC 12GB;GPU;2275.61;PLN;10
5900000000107;KF560C36BBEK2-32;Kingston;Kingston Fury Beast 32GB DDR5 6000 Kit;Memory;405.69;PLN;60
5900000000108;CMK32GX5M2B5600C36;Corsair;Corsair Vengeance 32GB DDR5 5600 Kit;Memory;389.43;PLN;45
5900000000110;PRIME-B650-PLUS;ASUS;ASUS PRIME B650-PLUS;Motherboard;527.64;PLN;20
5900000000111;PRO-B760-P-WIFI;MSI;MSI PRO B760-P WiFi DDR4;Motherboard;486.99;PLN;25
5900000000113;BN343;be quiet!;be quiet! Pure Power 12 M 750W 80+ Gold;PSU;405.69;PLN;30
5900000000114;FOCUS-GX-850;Seasonic;Seasonic Focus GX-850 80+ Gold;PSU;527.64;PLN;20
5900000000116;WDS100T2X0E;WD;WD Black SN850X 1TB NVMe;Storage;365.04;PLN;40
5900000000117;CT2000P3PSSD8;Crucial;Crucial P3 Plus 2TB NVMe;Storage;430.08;PLN;35
5900000000119;NH-U12S-REDUX;Noctua;Noctua NH-U12S redux;Cooler;202.44;PLN;30
5900000000120;BK021;be quiet!;be quiet! Dark Rock 4;Cooler;267.48;PLN;20
5900000000122;FD-C-POA1A-02;Fractal Design;Fractal Design Pop Air Black TG;Case;316.26;PLN;18
5900000000123;CC-H51FB-01;NZXT;NZXT H5 Flow Black;Case;348.78;PLN;15
5900000000125;NF-A12X25-PWM;Noctua;Noctua NF-A12x25 PWM 120mm;Fan;104.88;PLN;60
5900000000126;ACFAN00120A;Arctic;Arctic P12 PWM PST 120mm;Fan;23.58;PLN;120
5900000000128;S2722DGM;Dell;Dell S2722DGM 27-inch Curved QHD 165Hz;Displays;974.80;PLN;12
5900000000129;27GR75Q-B;LG;LG UltraGear 27GR75Q 27-inch QHD 165Hz;Displays;893.50;PLN;15
5900000000131;920-010437;Logitech;Logitech G413 SE Mechanical;Keyboards;202.44;PLN;30
5900000000132;RZ03-04700100;Razer;Razer BlackWidow V4 X;Keyboards;527.64;PLN;15
5900000000134;910-006138;Logitech;Logitech G502 X Black;Mice;243.09;PLN;35
5900000000135;RZ01-04640100;Razer;Razer DeathAdder V3;Mice;324.39;PLN;20
5900000000137;63003;SteelSeries;SteelSeries QcK Large;MousePads;56.10;PLN;80
5900000000138;RZ02-03330200;Razer;Razer Gigantus V2 Medium;MousePads;80.49;PLN;60
5900000000140;KHX-HSCP-RD;HyperX;HyperX Cloud II Red;Headphones;324.39;PLN;25
5900000000141;981-001050;Logitech;Logitech G435 Lightspeed;Headphones;202.44;PLN;30
5900000000143;988-000205;Blue;Blue Yeti Nano;Microphones;365.04;PLN;15
5900000000144;HMIS1X-XX-BK;HyperX;HyperX SoloCast;Microphones;202.44;PLN;25
5900000000146;960-001252;Logitech;Logitech C920s Pro HD;Webcams;283.74;PLN;20
5900000000147;RZ19-02320100;Razer;Razer Kiyo;Webcams;324.39;PLN;15
5900000000149;980-001348;Logitech;Logitech Z407 2.1;Speakers;283.74;PLN;20
5900000000150;51MF1700AA000;Creative;Creative Pebble V3;Speakers;145.53;PLN;35
5900000000152;82XF004YPB;Lenovo;Lenovo IdeaPad Slim 5 14 Ryzen 5;Laptops;2275.61;PLN;10
5900000000153;X1504ZA-BQ456;ASUS;ASUS VivoBook 15 i5;Laptops;1950.41;PLN;12
